MFile 1 2 480
MTrk
0 KeySig 0 major
0 SMPTE 96 0 0 0 0
0 Tempo 500000
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
40496 On ch=1 n=d#6 v=66
40502 On ch=1 n=d#5 v=53
40516 On ch=1 n=e6 v=0
40516 On ch=1 n=f#4 v=45
40596 On ch=1 n=f#4 v=0
40610 On ch=1 n=d#5 v=0
40626 On ch=1 n=d#6 v=0
40730 On ch=1 n=a3 v=33
40748 On ch=1 n=a#3 v=0
40772 On ch=1 n=c#6 v=61
40778 On ch=1 n=c#5 v=55
40802 On ch=1 n=e4 v=27
40814 Par ch=1 c=64 v=0
40868 On ch=1 n=e4 v=0
41022 On ch=1 n=e4 v=37
41028 Par ch=1 c=64 v=127
41066 On ch=1 n=c#5 v=0
41160 On ch=1 n=e4 v=0
41236 On ch=1 n=d#6 v=61
41246 On ch=1 n=d#5 v=48
41286 On ch=1 n=c#6 v=0
41334 On ch=1 n=d#5 v=0
41378 On ch=1 n=d#6 v=0
41480 On ch=1 n=a3 v=0
41483 On ch=1 n=e6 v=47
41490 On ch=1 n=c#4 v=28
41492 On ch=1 n=e5 v=56
41534 On ch=1 n=e6 v=0
41540 On ch=1 n=e5 v=0
41640 On ch=1 n=c#4 v=0
41708 On ch=1 n=g#4 v=66
41750 On ch=1 n=g#3 v=38
41812 Par ch=1 c=64 v=0
41988 On ch=1 n=c#5 v=37
42000 On ch=1 n=e5 v=47
42018 On ch=1 n=c#4 v=25
42032 On ch=1 n=e4 v=35
42044 Par ch=1 c=64 v=127
42130 On ch=1 n=e4 v=0
42148 On ch=1 n=e5 v=0
42152 On ch=1 n=c#4 v=0
42170 On ch=1 n=c#5 v=0
42228 On ch=1 n=a4 v=53
42248 On ch=1 n=a3 v=39
42272 On ch=1 n=g#3 v=0
42294 On ch=1 n=g#4 v=0
42304 Par ch=1 c=64 v=0
42530 On ch=1 n=e4 v=37
42532 On ch=1 n=c#5 v=26
42550 On ch=1 n=e5 v=28
42550 Par ch=1 c=64 v=127
42558 On ch=1 n=c#4 v=11
42624 On ch=1 n=e4 v=0
42624 On ch=1 n=c#5 v=0
42624 On ch=1 n=e5 v=0
42698 On ch=1 n=a3 v=0
42700 On ch=1 n=c#4 v=0
42750 On ch=1 n=f#4 v=57
42788 On ch=1 n=f#3 v=22
42842 Par ch=1 c=64 v=0
42847 On ch=1 n=a4 v=0
43016 On ch=1 n=d#5 v=38
43030 On ch=1 n=d#4 v=29
43033 On ch=1 n=c#5 v=29
43074 On ch=1 n=c#4 v=20
43088 Par ch=1 c=64 v=127
43146 On ch=1 n=d#4 v=0
43146 On ch=1 n=c#5 v=0
43188 On ch=1 n=c#4 v=0
43320 On ch=1 n=d#5 v=0
43326 On ch=1 n=g#4 v=44
43326 On ch=1 n=g#3 v=39
43358 On ch=1 n=f#3 v=0
43426 Par ch=1 c=64 v=0
